Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-5g79,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,Congruency,Practice
19,1722209161451,"28/07/2024, 23:26:01",1722209192488,2,"29/07/2024, 01:26:32",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,10,9,1,Screen 1,fixation,fixation,499.59999999999127,,,,0,,,,,,,,Practice Trials,GREENblue.jpg,green,0,1
20,1722209162117,"28/07/2024, 23:26:02",1722209193156,2,"29/07/2024, 01:26:33",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,10,9,2,Screen 2,buttonb,response_keyboard,649.5999999046326,,,green,1,1,,,,,,,Practice Trials,GREENblue.jpg,green,0,1
21,1722209162904,"28/07/2024, 23:26:02",1722209193936,2,"29/07/2024, 01:26:33",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,11,10,1,Screen 1,fixation,fixation,499.1999999999971,,,,0,,,,,,,,Practice Trials,GREENred.jpg,green,0,1
22,1722209163597,"28/07/2024, 23:26:03",1722209194635,2,"29/07/2024, 01:26:34",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,11,10,2,Screen 2,buttonb,response_keyboard,682.9000000953674,,,green,1,1,,,,,,,Practice Trials,GREENred.jpg,green,0,1
23,1722209164383,"28/07/2024, 23:26:04",1722209195418,2,"29/07/2024, 01:26:35",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,12,11,1,Screen 1,fixation,fixation,499.59999999999127,,,,0,,,,,,,,Practice Trials,GREENgreen.jpg,green,1,1
24,1722209164839,"28/07/2024, 23:26:04",1722209195880,2,"29/07/2024, 01:26:35",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,12,11,2,Screen 2,buttonb,response_keyboard,448.80000019073486,,,green,1,1,,,,,,,Practice Trials,GREENgreen.jpg,green,1,1
25,1722209165631,"28/07/2024, 23:26:05",1722209196666,2,"29/07/2024, 01:26:36",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,13,12,1,Screen 1,fixation,fixation,499.6999999999971,,,,0,,,,,,,,Practice Trials,YELLOWblue.jpg,yellow,0,1
26,1722209166247,"28/07/2024, 23:26:06",1722209197285,2,"29/07/2024, 01:26:37",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,13,12,2,Screen 2,buttona,response_keyboard,601.2999997138977,,,yellow,1,1,,,,,,,Practice Trials,YELLOWblue.jpg,yellow,0,1
27,1722209167023,"28/07/2024, 23:26:07",1722209198064,2,"29/07/2024, 01:26:38",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,14,13,1,Screen 1,fixation,fixation,499,,,,0,,,,,,,,Practice Trials,YELLOWyellow.jpg,yellow,1,1
28,1722209167520,"28/07/2024, 23:26:07",1722209198561,2,"29/07/2024, 01:26:38",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,14,13,2,Screen 2,buttona,response_keyboard,487.80000019073486,,,yellow,1,1,,,,,,,Practice Trials,YELLOWyellow.jpg,yellow,1,1
29,1722209168319,"28/07/2024, 23:26:08",1722209199347,2,"29/07/2024, 01:26:39",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,15,14,1,Screen 1,fixation,fixation,499.5,,,,0,,,,,,,,Practice Trials,REDgreen.jpg,red,0,1
30,1722209169077,"28/07/2024, 23:26:09",1722209200118,2,"29/07/2024, 01:26:40",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,15,14,2,Screen 2,buttona,response_keyboard,753.6999998092651,,,red,1,1,,,,,,,Practice Trials,REDgreen.jpg,red,0,1
31,1722209169875,"28/07/2024, 23:26:09",1722209200910,2,"29/07/2024, 01:26:40",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,16,15,1,Screen 1,fixation,fixation,499.09999999999127,,,,0,,,,,,,,Practice Trials,BLUEyellow.jpg,blue,0,1
32,1722209170506,"28/07/2024, 23:26:10",1722209201542,2,"29/07/2024, 01:26:41",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,16,15,2,Screen 2,buttonb,response_keyboard,615.7999997138977,,,green,1,,,,,,,,Practice Trials,BLUEyellow.jpg,blue,0,1
33,1722209179762,"28/07/2024, 23:26:19",1722209210797,2,"29/07/2024, 01:26:50",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,17,1,1,Screen 1,button,continue_button,8948.89999961853,,,,0,,,,,,,,Score,,,,
34,1722209194321,"28/07/2024, 23:26:34",1722209225360,2,"29/07/2024, 01:27:05",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,18,1,1,Screen 1,advancementZone,continue_button,14555.599999904633,,,,0,,,,,,,,Ready.0,,,,
35,1722209194805,"28/07/2024, 23:26:34",1722209225843,2,"29/07/2024, 01:27:05",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,34,1,1,Screen 1,fixation,fixation,499.3000000000029,,,,0,,,,,,,1,Trials,GREENyellow.jpg,green,0,0
36,1722209195638,"28/07/2024, 23:26:35",1722209226673,2,"29/07/2024, 01:27:06",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,34,1,2,Screen 2,buttonb,response_keyboard,824.8000001907349,,,green,1,1,,,,,,1,Trials,GREENyellow.jpg,green,0,0
37,1722209196121,"28/07/2024, 23:26:36",1722209227158,2,"29/07/2024, 01:27:07",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,103,2,1,Screen 1,fixation,fixation,499.3000000000029,,,,0,,,,,,,1,Trials,YELLOWred.jpg,yellow,0,0
38,1722209196982,"28/07/2024, 23:26:36",1722209228021,2,"29/07/2024, 01:27:08",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,103,2,2,Screen 2,buttona,response_keyboard,858.3000001907349,,,yellow,1,1,,,,,,1,Trials,YELLOWred.jpg,yellow,0,0
39,1722209197467,"28/07/2024, 23:26:37",1722209228506,2,"29/07/2024, 01:27:08",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,38,3,1,Screen 1,fixation,fixation,499.3000000000029,,,,0,,,,,,,1,Trials,GREENyellow.jpg,green,0,0
40,1722209198130,"28/07/2024, 23:26:38",1722209229169,2,"29/07/2024, 01:27:09",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,38,3,2,Screen 2,buttonb,response_keyboard,659.1999998092651,,,green,1,1,,,,,,1,Trials,GREENyellow.jpg,green,0,0
41,1722209198615,"28/07/2024, 23:26:38",1722209229655,2,"29/07/2024, 01:27:09",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,48,4,1,Screen 1,fixation,fixation,499.3000000000029,,,,0,,,,,,,1,Trials,BLUEblue.jpg,blue,1,0
42,1722209199112,"28/07/2024, 23:26:39",1722209230136,2,"29/07/2024, 01:27:10",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,48,4,2,Screen 2,buttonb,response_keyboard,477.2999997138977,,,blue,1,1,,,,,,1,Trials,BLUEblue.jpg,blue,1,0
43,1722209199583,"28/07/2024, 23:26:39",1722209230620,2,"29/07/2024, 01:27:10",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,96,5,1,Screen 1,fixation,fixation,499.3000000000029,,,,0,,,,,,,1,Trials,REDred.jpg,red,1,0
44,1722209200077,"28/07/2024, 23:26:40",1722209231116,2,"29/07/2024, 01:27:11",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,96,5,2,Screen 2,buttona,response_keyboard,492.69999980926514,,,red,1,1,,,,,,1,Trials,REDred.jpg,red,1,0
45,1722209200565,"28/07/2024, 23:26:40",1722209231602,2,"29/07/2024, 01:27:11",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,57,6,1,Screen 1,fixation,fixation,499.3999999999942,,,,0,,,,,,,1,Trials,REDred.jpg,red,1,0
46,1722209201084,"28/07/2024, 23:26:41",1722209232124,2,"29/07/2024, 01:27:12",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,57,6,2,Screen 2,buttona,response_keyboard,517.7000002861023,,,red,1,1,,,,,,1,Trials,REDred.jpg,red,1,0
47,1722209201579,"28/07/2024, 23:26:41",1722209232618,2,"29/07/2024, 01:27:12",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,80,7,1,Screen 1,fixation,fixation,499.40000000000873,,,,0,,,,,,,1,Trials,BLUEred.jpg,blue,0,0
48,1722209202252,"28/07/2024, 23:26:42",1722209233289,2,"29/07/2024, 01:27:13",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,80,7,2,Screen 2,buttonb,response_keyboard,666.4000000953674,,,blue,1,1,,,,,,1,Trials,BLUEred.jpg,blue,0,0
49,1722209202744,"28/07/2024, 23:26:42",1722209233783,2,"29/07/2024, 01:27:13",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,32,8,1,Screen 1,fixation,fixation,499.3000000000029,,,,0,,,,,,,1,Trials,GREENred.jpg,green,0,0
50,1722209203341,"28/07/2024, 23:26:43",1722209234378,2,"29/07/2024, 01:27:14",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,32,8,2,Screen 2,buttonb,response_keyboard,589.6000003814697,,,green,1,1,,,,,,1,Trials,GREENred.jpg,green,0,0
51,1722209203827,"28/07/2024, 23:26:43",1722209234865,2,"29/07/2024, 01:27:14",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,43,9,1,Screen 1,fixation,fixation,499.3000000000029,,,,0,,,,,,,1,Trials,BLUEgreen.jpg,blue,0,0
52,1722209204420,"28/07/2024, 23:26:44",1722209235457,2,"29/07/2024, 01:27:15",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,43,9,2,Screen 2,buttonb,response_keyboard,586.8999996185303,,,green,1,,,,,,,1,Trials,BLUEgreen.jpg,blue,0,0
53,1722209204909,"28/07/2024, 23:26:44",1722209235947,2,"29/07/2024, 01:27:15",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,41,10,1,Screen 1,fixation,fixation,499.5,,,,0,,,,,,,1,Trials,GREENgreen.jpg,green,1,0
54,1722209205664,"28/07/2024, 23:26:45",1722209236698,2,"29/07/2024, 01:27:16",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,41,10,2,Screen 2,buttonb,response_keyboard,741.0999999046326,,,green,1,1,,,,,,1,Trials,GREENgreen.jpg,green,1,0
55,1722209206157,"28/07/2024, 23:26:46",1722209237196,2,"29/07/2024, 01:27:17",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,27,11,1,Screen 1,fixation,fixation,499.29999999998836,,,,0,,,,,,,1,Trials,YELLOWgreen.jpg,yellow,0,0
56,1722209206767,"28/07/2024, 23:26:46",1722209237802,2,"29/07/2024, 01:27:17",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,27,11,2,Screen 2,buttona,response_keyboard,600.4000000953674,,,yellow,1,1,,,,,,1,Trials,YELLOWgreen.jpg,yellow,0,0
57,1722209207259,"28/07/2024, 23:26:47",1722209238294,2,"29/07/2024, 01:27:18",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,44,12,1,Screen 1,fixation,fixation,499.3000000000029,,,,0,,,,,,,1,Trials,BLUEblue.jpg,blue,1,0
58,1722209208221,"28/07/2024, 23:26:48",1722209239258,2,"29/07/2024, 01:27:19",143587,32,task-l8uv,,39246941,wjob1,9856444,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,44,12,2,Screen 2,buttonb,response_keyboard,950.9000000953674,,,blue,1,1,,,,,,1,Trials,BLUEblue.jpg,blue,1,0
