Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-5g79
32,1708881135665,"25/02/2024, 17:12:15",1708881135592,1,"25/02/2024, 18:12:15",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
33,1708881151867,"25/02/2024, 17:12:31",1708881151778,1,"25/02/2024, 18:12:31",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
34,1708881175573,"25/02/2024, 17:12:55",1708881175493,1,"25/02/2024, 18:12:55",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
35,1708881176072,"25/02/2024, 17:12:56",1708881175989,1,"25/02/2024, 18:12:55",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
36,1708881177543,"25/02/2024, 17:12:57",1708881177462,1,"25/02/2024, 18:12:57",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
37,1708881178038,"25/02/2024, 17:12:58",1708881177957,1,"25/02/2024, 18:12:57",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
38,1708881178802,"25/02/2024, 17:12:58",1708881178719,1,"25/02/2024, 18:12:58",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
39,1708881179278,"25/02/2024, 17:12:59",1708881179203,1,"25/02/2024, 18:12:59",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
40,1708881179840,"25/02/2024, 17:12:59",1708881179760,1,"25/02/2024, 18:12:59",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
41,1708881180330,"25/02/2024, 17:13:00",1708881180256,1,"25/02/2024, 18:13:00",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
42,1708881181312,"25/02/2024, 17:13:01",1708881181209,1,"25/02/2024, 18:13:01",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
43,1708881181785,"25/02/2024, 17:13:01",1708881181706,1,"25/02/2024, 18:13:01",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
44,1708881182488,"25/02/2024, 17:13:02",1708881182417,1,"25/02/2024, 18:13:02",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
45,1708881182976,"25/02/2024, 17:13:02",1708881182905,1,"25/02/2024, 18:13:02",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
46,1708881183536,"25/02/2024, 17:13:03",1708881183454,1,"25/02/2024, 18:13:03",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
47,1708881184016,"25/02/2024, 17:13:04",1708881183939,1,"25/02/2024, 18:13:03",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
48,1708881184591,"25/02/2024, 17:13:04",1708881184520,1,"25/02/2024, 18:13:04",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
49,1708881185092,"25/02/2024, 17:13:05",1708881185007,1,"25/02/2024, 18:13:05",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
50,1708881185644,"25/02/2024, 17:13:05",1708881185560,1,"25/02/2024, 18:13:05",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
51,1708881186130,"25/02/2024, 17:13:06",1708881186057,1,"25/02/2024, 18:13:06",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
52,1708881186675,"25/02/2024, 17:13:06",1708881186595,1,"25/02/2024, 18:13:06",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
53,1708881187160,"25/02/2024, 17:13:07",1708881187086,1,"25/02/2024, 18:13:07",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
54,1708881187639,"25/02/2024, 17:13:07",1708881187553,1,"25/02/2024, 18:13:07",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
55,1708881188115,"25/02/2024, 17:13:08",1708881188039,1,"25/02/2024, 18:13:08",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
56,1708881188521,"25/02/2024, 17:13:08",1708881188441,1,"25/02/2024, 18:13:08",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
57,1708881189012,"25/02/2024, 17:13:09",1708881188937,1,"25/02/2024, 18:13:08",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
58,1708881189553,"25/02/2024, 17:13:09",1708881189473,1,"25/02/2024, 18:13:09",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
59,1708881190037,"25/02/2024, 17:13:10",1708881189957,1,"25/02/2024, 18:13:09",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
60,1708881190634,"25/02/2024, 17:13:10",1708881190558,1,"25/02/2024, 18:13:10",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
61,1708881191128,"25/02/2024, 17:13:11",1708881191057,1,"25/02/2024, 18:13:11",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
62,1708881191952,"25/02/2024, 17:13:11",1708881191736,1,"25/02/2024, 18:13:11",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
63,1708881192293,"25/02/2024, 17:13:12",1708881192223,1,"25/02/2024, 18:13:12",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
64,1708881192760,"25/02/2024, 17:13:12",1708881192681,1,"25/02/2024, 18:13:12",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
65,1708881193246,"25/02/2024, 17:13:13",1708881193171,1,"25/02/2024, 18:13:13",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
66,1708881194390,"25/02/2024, 17:13:14",1708881194310,1,"25/02/2024, 18:13:14",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
67,1708881194880,"25/02/2024, 17:13:14",1708881194806,1,"25/02/2024, 18:13:14",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
68,1708881195392,"25/02/2024, 17:13:15",1708881195311,1,"25/02/2024, 18:13:15",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
69,1708881195901,"25/02/2024, 17:13:15",1708881195807,1,"25/02/2024, 18:13:15",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
70,1708881196866,"25/02/2024, 17:13:16",1708881196789,1,"25/02/2024, 18:13:16",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
71,1708881197356,"25/02/2024, 17:13:17",1708881197272,1,"25/02/2024, 18:13:17",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
72,1708881198024,"25/02/2024, 17:13:18",1708881197955,1,"25/02/2024, 18:13:17",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
73,1708881198520,"25/02/2024, 17:13:18",1708881198439,1,"25/02/2024, 18:13:18",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
74,1708881199066,"25/02/2024, 17:13:19",1708881198994,1,"25/02/2024, 18:13:18",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
75,1708881199571,"25/02/2024, 17:13:19",1708881199489,1,"25/02/2024, 18:13:19",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
76,1708881200460,"25/02/2024, 17:13:20",1708881200362,1,"25/02/2024, 18:13:20",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
77,1708881200940,"25/02/2024, 17:13:20",1708881200855,1,"25/02/2024, 18:13:20",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
78,1708881201635,"25/02/2024, 17:13:21",1708881201550,1,"25/02/2024, 18:13:21",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
79,1708881202127,"25/02/2024, 17:13:22",1708881202039,1,"25/02/2024, 18:13:22",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
80,1708881202538,"25/02/2024, 17:13:22",1708881202458,1,"25/02/2024, 18:13:22",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
81,1708881203050,"25/02/2024, 17:13:23",1708881202956,1,"25/02/2024, 18:13:22",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
