Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,d1,answer,TimedSection,listLength,,ItemNo
28,1723465326992,12/08/2024 12:22:06,1723465328965,2,12/08/2024 14:22:08,143587,32,task-2f5q,,39515665,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1271,,,,"1. Digit Span task (forward, backward)",7,Stroop ,ListA,ListA,16,11,1,Screen 1,fixation,fixation,299.79999999999563,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">9</p>",,,3,,
29,1723465327979,12/08/2024 12:22:07,1723465329967,2,12/08/2024 14:22:09,143587,32,task-2f5q,,39515665,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1271,,,,"1. Digit Span task (forward, backward)",7,Stroop ,ListA,ListA,16,11,2,Screen 2,Zone2,timelimit_screen,1000.8000000000029,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">9</p>",,,3,,
30,1723465328284,12/08/2024 12:22:08,1723465330266,2,12/08/2024 14:22:10,143587,32,task-2f5q,,39515665,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1271,,,,"1. Digit Span task (forward, backward)",7,Stroop ,ListA,ListA,17,12,1,Screen 1,fixation,fixation,299.79999999999563,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">6</p>",,,3,,
31,1723465329280,12/08/2024 12:22:09,1723465331266,2,12/08/2024 14:22:11,143587,32,task-2f5q,,39515665,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1271,,,,"1. Digit Span task (forward, backward)",7,Stroop ,ListA,ListA,17,12,2,Screen 2,Zone2,timelimit_screen,1000.1000000000058,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">6</p>",,,3,,
32,1723465330538,12/08/2024 12:22:10,1723465332525,2,12/08/2024 14:22:12,143587,32,task-2f5q,,39515665,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1271,,,,"1. Digit Span task (forward, backward)",7,Stroop ,ListA,ListA,18,4,1,Screen 1,Zone2,response_text_entry,562.4000000003725,,Enter Key,396,1,1,0,0,,,,,,Test_Forwards,,396,8000,3,,F3_4
33,1723465330821,12/08/2024 12:22:10,1723465332817,2,12/08/2024 14:22:12,143587,32,task-2f5q,,39515665,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1271,,,,"1. Digit Span task (forward, backward)",7,Stroop ,ListA,ListA,19,13,1,Screen 1,fixation,fixation,300.09999999999854,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">9</p>",,,4,,
34,1723465331842,12/08/2024 12:22:11,1723465333817,2,12/08/2024 14:22:13,143587,32,task-2f5q,,39515665,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1271,,,,"1. Digit Span task (forward, backward)",7,Stroop ,ListA,ListA,19,13,2,Screen 2,Zone2,timelimit_screen,999.7999999999956,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">9</p>",,,4,,
35,1723465332122,12/08/2024 12:22:12,1723465334117,2,12/08/2024 14:22:14,143587,32,task-2f5q,,39515665,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1271,,,,"1. Digit Span task (forward, backward)",7,Stroop ,ListA,ListA,20,14,1,Screen 1,fixation,fixation,300.40000000000873,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">2</p>",,,4,,
36,1723465333278,12/08/2024 12:22:13,1723465335118,2,12/08/2024 14:22:15,143587,32,task-2f5q,,39515665,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1271,,,,"1. Digit Span task (forward, backward)",7,Stroop ,ListA,ListA,20,14,2,Screen 2,Zone2,timelimit_screen,1000.1999999999971,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">2</p>",,,4,,
37,1723465333521,12/08/2024 12:22:13,1723465335417,2,12/08/2024 14:22:15,143587,32,task-2f5q,,39515665,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1271,,,,"1. Digit Span task (forward, backward)",7,Stroop ,ListA,ListA,21,15,1,Screen 1,fixation,fixation,299.8000000000029,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">3</p>",,,4,,
