"Participant_ID","Participant_number","Pseudolanguage_version","Codeswitching_average","L1_Proficiency_Score","L2_Proficiency_Score","Multilingual_Language_Diversity_Score","total_correct.x","listLength","total_correct.y","omissions","intrusions","repetitions","incongruent","congruent","difference_reaction_time","p_or_r","e1_H","e1_X","e2_H","e2_X","e3_H","e3_X","e4_H","e4_X","e5_H","e5_X","e1_L","e1_R","e1_T","e2_L","e2_R","e2_T","e3_L","e3_R","e3_T","e4_L","e4_R","e4_T","e5_L","e5_R","e5_T","eNA_NA","eNA_L","e1_TL","e2_TL","e3_TL","e4_TL","e5_TL"
"crar9",10,"Mini-Norwegian",0,"0.96","0.68","1.53",22,7,0,2,559,NA,1006.5983333389,854.644444430316,-151.95388890858,"R",332.799999952316,373.75,338.099999904633,620.200000047684,315.100000143051,635.900000095367,311.200000047684,606.200000047684,338,588,386.099999904633,362.349999904633,388,368.899999856949,370.75,378.900000095367,381.100000023842,360.500000119209,387.050000071526,363.799999952316,392.099999904633,385.300000071526,377,361.5,409.299999952316,0,0,53.2999999523163,30.7999999523163,65.9999998807907,52.5999999046326,39
"exdq7",9,"Mini-English",3.75,"1","0.93","1",24,4,3,2,559,NA,805.926229484746,727.261111109345,-78.6651183754007,"P",355.899999976158,286.900000095367,345.900000095367,292.800000190735,336.900000095367,278.199999809265,339.900000095367,260.700000047684,330.199999928474,268.400000095367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-355.899999976158,-345.900000095367,-336.900000095367,-339.900000095367,-330.199999928474
"exdq7",9,"Mini-English",3.75,"1","0.93","1",24,4,3,2,559,NA,805.926229484746,727.261111109345,-78.6651183754007,"R",349.200000047684,329.099999904633,355.400000095367,459.200000047684,316.600000023842,519.200000047684,322,522.100000143051,319.800000071526,539,351.5,296,346.750000119209,343.699999809265,288.649999976158,340.699999809265,336.900000095367,295,333.449999928474,341.149999976158,304.299999952316,384.249999880791,342.700000047684,294.299999952316,368.599999904633,0,0,2.29999995231628,-11.7000002861023,20.3000000715256,19.1499999761581,22.8999999761581
"exdq7",9,"Mini-English",3.75,"1","0.93","1",24,3,7,2,559,NA,805.926229484746,727.261111109345,-78.6651183754007,"P",355.899999976158,286.900000095367,345.900000095367,292.800000190735,336.900000095367,278.199999809265,339.900000095367,260.700000047684,330.199999928474,268.400000095367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-355.899999976158,-345.900000095367,-336.900000095367,-339.900000095367,-330.199999928474
"exdq7",9,"Mini-English",3.75,"1","0.93","1",24,3,7,2,559,NA,805.926229484746,727.261111109345,-78.6651183754007,"R",349.200000047684,329.099999904633,355.400000095367,459.200000047684,316.600000023842,519.200000047684,322,522.100000143051,319.800000071526,539,351.5,296,346.750000119209,343.699999809265,288.649999976158,340.699999809265,336.900000095367,295,333.449999928474,341.149999976158,304.299999952316,384.249999880791,342.700000047684,294.299999952316,368.599999904633,0,0,2.29999995231628,-11.7000002861023,20.3000000715256,19.1499999761581,22.8999999761581
"exdq7",9,"Mini-English",3.75,"1","0.93","1",24,6,5,2,559,NA,805.926229484746,727.261111109345,-78.6651183754007,"P",355.899999976158,286.900000095367,345.900000095367,292.800000190735,336.900000095367,278.199999809265,339.900000095367,260.700000047684,330.199999928474,268.400000095367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-355.899999976158,-345.900000095367,-336.900000095367,-339.900000095367,-330.199999928474
"exdq7",9,"Mini-English",3.75,"1","0.93","1",24,6,5,2,559,NA,805.926229484746,727.261111109345,-78.6651183754007,"R",349.200000047684,329.099999904633,355.400000095367,459.200000047684,316.600000023842,519.200000047684,322,522.100000143051,319.800000071526,539,351.5,296,346.750000119209,343.699999809265,288.649999976158,340.699999809265,336.900000095367,295,333.449999928474,341.149999976158,304.299999952316,384.249999880791,342.700000047684,294.299999952316,368.599999904633,0,0,2.29999995231628,-11.7000002861023,20.3000000715256,19.1499999761581,22.8999999761581
"exdq7",9,"Mini-English",3.75,"1","0.93","1",24,5,5,2,559,NA,805.926229484746,727.261111109345,-78.6651183754007,"P",355.899999976158,286.900000095367,345.900000095367,292.800000190735,336.900000095367,278.199999809265,339.900000095367,260.700000047684,330.199999928474,268.400000095367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-355.899999976158,-345.900000095367,-336.900000095367,-339.900000095367,-330.199999928474
"exdq7",9,"Mini-English",3.75,"1","0.93","1",24,5,5,2,559,NA,805.926229484746,727.261111109345,-78.6651183754007,"R",349.200000047684,329.099999904633,355.400000095367,459.200000047684,316.600000023842,519.200000047684,322,522.100000143051,319.800000071526,539,351.5,296,346.750000119209,343.699999809265,288.649999976158,340.699999809265,336.900000095367,295,333.449999928474,341.149999976158,304.299999952316,384.249999880791,342.700000047684,294.299999952316,368.599999904633,0,0,2.29999995231628,-11.7000002861023,20.3000000715256,19.1499999761581,22.8999999761581
"exdq7",9,"Mini-English",3.75,"1","0.93","1",24,8,0,2,559,NA,805.926229484746,727.261111109345,-78.6651183754007,"P",355.899999976158,286.900000095367,345.900000095367,292.800000190735,336.900000095367,278.199999809265,339.900000095367,260.700000047684,330.199999928474,268.400000095367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-355.899999976158,-345.900000095367,-336.900000095367,-339.900000095367,-330.199999928474
"exdq7",9,"Mini-English",3.75,"1","0.93","1",24,8,0,2,559,NA,805.926229484746,727.261111109345,-78.6651183754007,"R",349.200000047684,329.099999904633,355.400000095367,459.200000047684,316.600000023842,519.200000047684,322,522.100000143051,319.800000071526,539,351.5,296,346.750000119209,343.699999809265,288.649999976158,340.699999809265,336.900000095367,295,333.449999928474,341.149999976158,304.299999952316,384.249999880791,342.700000047684,294.299999952316,368.599999904633,0,0,2.29999995231628,-11.7000002861023,20.3000000715256,19.1499999761581,22.8999999761581
"exdq7",9,"Mini-English",3.75,"1","0.93","1",24,7,4,2,559,NA,805.926229484746,727.261111109345,-78.6651183754007,"P",355.899999976158,286.900000095367,345.900000095367,292.800000190735,336.900000095367,278.199999809265,339.900000095367,260.700000047684,330.199999928474,268.400000095367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-355.899999976158,-345.900000095367,-336.900000095367,-339.900000095367,-330.199999928474
"exdq7",9,"Mini-English",3.75,"1","0.93","1",24,NA,0,2,559,NA,805.926229484746,727.261111109345,-78.6651183754007,"R",349.200000047684,329.099999904633,355.400000095367,459.200000047684,316.600000023842,519.200000047684,322,522.100000143051,319.800000071526,539,351.5,296,346.750000119209,343.699999809265,288.649999976158,340.699999809265,336.900000095367,295,333.449999928474,341.149999976158,304.299999952316,384.249999880791,342.700000047684,294.299999952316,368.599999904633,0,0,2.29999995231628,-11.7000002861023,20.3000000715256,19.1499999761581,22.8999999761581
"exdq7",9,"Mini-English",3.75,"1","0.93","1",24,7,4,2,559,NA,805.926229484746,727.261111109345,-78.6651183754007,"R",349.200000047684,329.099999904633,355.400000095367,459.200000047684,316.600000023842,519.200000047684,322,522.100000143051,319.800000071526,539,351.5,296,346.750000119209,343.699999809265,288.649999976158,340.699999809265,336.900000095367,295,333.449999928474,341.149999976158,304.299999952316,384.249999880791,342.700000047684,294.299999952316,368.599999904633,0,0,2.29999995231628,-11.7000002861023,20.3000000715256,19.1499999761581,22.8999999761581
"exdq7",9,"Mini-English",3.75,"1","0.93","1",24,NA,0,2,559,NA,805.926229484746,727.261111109345,-78.6651183754007,"P",355.899999976158,286.900000095367,345.900000095367,292.800000190735,336.900000095367,278.199999809265,339.900000095367,260.700000047684,330.199999928474,268.400000095367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-355.899999976158,-345.900000095367,-336.900000095367,-339.900000095367,-330.199999928474
"ezje7",13,"Mini-English",0,"0.86","0.68","1.82",36,3,7,2,546,NA,666.803278692433,658.829629641992,-7.97364905044105,"R",376,371.450000047684,362,517.899999856949,328.699999928474,599.200000047684,330.550000071526,484.099999904633,290.200000047684,467.799999952316,352.200000047684,297.900000095367,327.799999952316,321.25,320.099999904633,394.399999976158,328,284.100000143051,351.050000071526,343.199999928474,308.349999904633,370,307.399999976158,273.300000071526,316.049999952316,0,0,-23.7999999523163,-40.75,-0.699999928474426,12.6499998569489,17.1999999284744
"ezje7",13,"Mini-English",0,"0.86","0.68","1.82",36,4,8,2,546,NA,666.803278692433,658.829629641992,-7.97364905044105,"P",358.5,358.899999856949,317.899999976158,291.049999952316,333.799999952316,305.450000047684,320.400000095367,261,302.299999952316,287.599999904633,417.299999952316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.7999999523163,-317.899999976158,-333.799999952316,-320.400000095367,-302.299999952316
"ezje7",13,"Mini-English",0,"0.86","0.68","1.82",36,4,8,2,546,NA,666.803278692433,658.829629641992,-7.97364905044105,"R",376,371.450000047684,362,517.899999856949,328.699999928474,599.200000047684,330.550000071526,484.099999904633,290.200000047684,467.799999952316,352.200000047684,297.900000095367,327.799999952316,321.25,320.099999904633,394.399999976158,328,284.100000143051,351.050000071526,343.199999928474,308.349999904633,370,307.399999976158,273.300000071526,316.049999952316,0,0,-23.7999999523163,-40.75,-0.699999928474426,12.6499998569489,17.1999999284744
"ezje7",13,"Mini-English",0,"0.86","0.68","1.82",36,5,8,2,546,NA,666.803278692433,658.829629641992,-7.97364905044105,"R",376,371.450000047684,362,517.899999856949,328.699999928474,599.200000047684,330.550000071526,484.099999904633,290.200000047684,467.799999952316,352.200000047684,297.900000095367,327.799999952316,321.25,320.099999904633,394.399999976158,328,284.100000143051,351.050000071526,343.199999928474,308.349999904633,370,307.399999976158,273.300000071526,316.049999952316,0,0,-23.7999999523163,-40.75,-0.699999928474426,12.6499998569489,17.1999999284744
"ezje7",13,"Mini-English",0,"0.86","0.68","1.82",36,6,5,2,546,NA,666.803278692433,658.829629641992,-7.97364905044105,"P",358.5,358.899999856949,317.899999976158,291.049999952316,333.799999952316,305.450000047684,320.400000095367,261,302.299999952316,287.599999904633,417.299999952316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.7999999523163,-317.899999976158,-333.799999952316,-320.400000095367,-302.299999952316
"ezje7",13,"Mini-English",0,"0.86","0.68","1.82",36,6,5,2,546,NA,666.803278692433,658.829629641992,-7.97364905044105,"R",376,371.450000047684,362,517.899999856949,328.699999928474,599.200000047684,330.550000071526,484.099999904633,290.200000047684,467.799999952316,352.200000047684,297.900000095367,327.799999952316,321.25,320.099999904633,394.399999976158,328,284.100000143051,351.050000071526,343.199999928474,308.349999904633,370,307.399999976158,273.300000071526,316.049999952316,0,0,-23.7999999523163,-40.75,-0.699999928474426,12.6499998569489,17.1999999284744
"ezje7",13,"Mini-English",0,"0.86","0.68","1.82",36,3,7,2,546,NA,666.803278692433,658.829629641992,-7.97364905044105,"P",358.5,358.899999856949,317.899999976158,291.049999952316,333.799999952316,305.450000047684,320.400000095367,261,302.299999952316,287.599999904633,417.299999952316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.7999999523163,-317.899999976158,-333.799999952316,-320.400000095367,-302.299999952316
"ezje7",13,"Mini-English",0,"0.86","0.68","1.82",36,7,4,2,546,NA,666.803278692433,658.829629641992,-7.97364905044105,"P",358.5,358.899999856949,317.899999976158,291.049999952316,333.799999952316,305.450000047684,320.400000095367,261,302.299999952316,287.599999904633,417.299999952316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.7999999523163,-317.899999976158,-333.799999952316,-320.400000095367,-302.299999952316
"ezje7",13,"Mini-English",0,"0.86","0.68","1.82",36,7,4,2,546,NA,666.803278692433,658.829629641992,-7.97364905044105,"R",376,371.450000047684,362,517.899999856949,328.699999928474,599.200000047684,330.550000071526,484.099999904633,290.200000047684,467.799999952316,352.200000047684,297.900000095367,327.799999952316,321.25,320.099999904633,394.399999976158,328,284.100000143051,351.050000071526,343.199999928474,308.349999904633,370,307.399999976158,273.300000071526,316.049999952316,0,0,-23.7999999523163,-40.75,-0.699999928474426,12.6499998569489,17.1999999284744
"ezje7",13,"Mini-English",0,"0.86","0.68","1.82",36,8,4,2,546,NA,666.803278692433,658.829629641992,-7.97364905044105,"P",358.5,358.899999856949,317.899999976158,291.049999952316,333.799999952316,305.450000047684,320.400000095367,261,302.299999952316,287.599999904633,417.299999952316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.7999999523163,-317.899999976158,-333.799999952316,-320.400000095367,-302.299999952316
"ezje7",13,"Mini-English",0,"0.86","0.68","1.82",36,5,8,2,546,NA,666.803278692433,658.829629641992,-7.97364905044105,"P",358.5,358.899999856949,317.899999976158,291.049999952316,333.799999952316,305.450000047684,320.400000095367,261,302.299999952316,287.599999904633,417.299999952316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.7999999523163,-317.899999976158,-333.799999952316,-320.400000095367,-302.299999952316
"ezje7",13,"Mini-English",0,"0.86","0.68","1.82",36,NA,0,2,546,NA,666.803278692433,658.829629641992,-7.97364905044105,"P",358.5,358.899999856949,317.899999976158,291.049999952316,333.799999952316,305.450000047684,320.400000095367,261,302.299999952316,287.599999904633,417.299999952316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.7999999523163,-317.899999976158,-333.799999952316,-320.400000095367,-302.299999952316
"ezje7",13,"Mini-English",0,"0.86","0.68","1.82",36,NA,0,2,546,NA,666.803278692433,658.829629641992,-7.97364905044105,"R",376,371.450000047684,362,517.899999856949,328.699999928474,599.200000047684,330.550000071526,484.099999904633,290.200000047684,467.799999952316,352.200000047684,297.900000095367,327.799999952316,321.25,320.099999904633,394.399999976158,328,284.100000143051,351.050000071526,343.199999928474,308.349999904633,370,307.399999976158,273.300000071526,316.049999952316,0,0,-23.7999999523163,-40.75,-0.699999928474426,12.6499998569489,17.1999999284744
"ezje7",13,"Mini-English",0,"0.86","0.68","1.82",36,8,4,2,546,NA,666.803278692433,658.829629641992,-7.97364905044105,"R",376,371.450000047684,362,517.899999856949,328.699999928474,599.200000047684,330.550000071526,484.099999904633,290.200000047684,467.799999952316,352.200000047684,297.900000095367,327.799999952316,321.25,320.099999904633,394.399999976158,328,284.100000143051,351.050000071526,343.199999928474,308.349999904633,370,307.399999976158,273.300000071526,316.049999952316,0,0,-23.7999999523163,-40.75,-0.699999928474426,12.6499998569489,17.1999999284744
"finc3",14,"Mini-Norwegian",0,"1","0.93","1.56",37,3,7,2,544,NA,1493.37833333338,1151.86111111111,-341.517222222272,"P",414.699999988079,390.29999999702,404,389,388.85000000149,380.79999999702,408.399999991059,372.800000011921,413.399999991059,397.19999999553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-414.699999988079,-404,-388.85000000149,-408.399999991059,-413.399999991059
"finc3",14,"Mini-Norwegian",0,"1","0.93","1.56",37,3,7,2,544,NA,1493.37833333338,1151.86111111111,-341.517222222272,"R",412.600000008941,434.29999999702,407.20000000298,724.90000000596,374.14999999851,645.399999991059,395.05000000447,835.399999991059,403.70000000298,764.20000000298,415.399999991059,375.399999991059,415.500000007451,403.600000008941,384.09999999404,408.29999999702,390.09999999404,372,403.30000000447,414.5,387.29999999702,434.70000000298,422.250000007451,401.5,443.29999999702,0,0,2.79999998211861,-3.59999999403954,15.9499999955297,19.4499999955297,18.5500000044703
"finc3",14,"Mini-Norwegian",0,"1","0.93","1.56",37,4,7,2,544,NA,1493.37833333338,1151.86111111111,-341.517222222272,"R",412.600000008941,434.29999999702,407.20000000298,724.90000000596,374.14999999851,645.399999991059,395.05000000447,835.399999991059,403.70000000298,764.20000000298,415.399999991059,375.399999991059,415.500000007451,403.600000008941,384.09999999404,408.29999999702,390.09999999404,372,403.30000000447,414.5,387.29999999702,434.70000000298,422.250000007451,401.5,443.29999999702,0,0,2.79999998211861,-3.59999999403954,15.9499999955297,19.4499999955297,18.5500000044703
"finc3",14,"Mini-Norwegian",0,"1","0.93","1.56",37,5,6,2,544,NA,1493.37833333338,1151.86111111111,-341.517222222272,"P",414.699999988079,390.29999999702,404,389,388.85000000149,380.79999999702,408.399999991059,372.800000011921,413.399999991059,397.19999999553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-414.699999988079,-404,-388.85000000149,-408.399999991059,-413.399999991059
"finc3",14,"Mini-Norwegian",0,"1","0.93","1.56",37,5,6,2,544,NA,1493.37833333338,1151.86111111111,-341.517222222272,"R",412.600000008941,434.29999999702,407.20000000298,724.90000000596,374.14999999851,645.399999991059,395.05000000447,835.399999991059,403.70000000298,764.20000000298,415.399999991059,375.399999991059,415.500000007451,403.600000008941,384.09999999404,408.29999999702,390.09999999404,372,403.30000000447,414.5,387.29999999702,434.70000000298,422.250000007451,401.5,443.29999999702,0,0,2.79999998211861,-3.59999999403954,15.9499999955297,19.4499999955297,18.5500000044703
"finc3",14,"Mini-Norwegian",0,"1","0.93","1.56",37,4,7,2,544,NA,1493.37833333338,1151.86111111111,-341.517222222272,"P",414.699999988079,390.29999999702,404,389,388.85000000149,380.79999999702,408.399999991059,372.800000011921,413.399999991059,397.19999999553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-414.699999988079,-404,-388.85000000149,-408.399999991059,-413.399999991059
"finc3",14,"Mini-Norwegian",0,"1","0.93","1.56",37,7,7,2,544,NA,1493.37833333338,1151.86111111111,-341.517222222272,"P",414.699999988079,390.29999999702,404,389,388.85000000149,380.79999999702,408.399999991059,372.800000011921,413.399999991059,397.19999999553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-414.699999988079,-404,-388.85000000149,-408.399999991059,-413.399999991059
"finc3",14,"Mini-Norwegian",0,"1","0.93","1.56",37,7,7,2,544,NA,1493.37833333338,1151.86111111111,-341.517222222272,"R",412.600000008941,434.29999999702,407.20000000298,724.90000000596,374.14999999851,645.399999991059,395.05000000447,835.399999991059,403.70000000298,764.20000000298,415.399999991059,375.399999991059,415.500000007451,403.600000008941,384.09999999404,408.29999999702,390.09999999404,372,403.30000000447,414.5,387.29999999702,434.70000000298,422.250000007451,401.5,443.29999999702,0,0,2.79999998211861,-3.59999999403954,15.9499999955297,19.4499999955297,18.5500000044703
"finc3",14,"Mini-Norwegian",0,"1","0.93","1.56",37,8,3,2,544,NA,1493.37833333338,1151.86111111111,-341.517222222272,"P",414.699999988079,390.29999999702,404,389,388.85000000149,380.79999999702,408.399999991059,372.800000011921,413.399999991059,397.19999999553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-414.699999988079,-404,-388.85000000149,-408.399999991059,-413.399999991059
"finc3",14,"Mini-Norwegian",0,"1","0.93","1.56",37,6,7,2,544,NA,1493.37833333338,1151.86111111111,-341.517222222272,"P",414.699999988079,390.29999999702,404,389,388.85000000149,380.79999999702,408.399999991059,372.800000011921,413.399999991059,397.19999999553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-414.699999988079,-404,-388.85000000149,-408.399999991059,-413.399999991059
"finc3",14,"Mini-Norwegian",0,"1","0.93","1.56",37,NA,0,2,544,NA,1493.37833333338,1151.86111111111,-341.517222222272,"P",414.699999988079,390.29999999702,404,389,388.85000000149,380.79999999702,408.399999991059,372.800000011921,413.399999991059,397.19999999553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-414.699999988079,-404,-388.85000000149,-408.399999991059,-413.399999991059
"finc3",14,"Mini-Norwegian",0,"1","0.93","1.56",37,NA,0,2,544,NA,1493.37833333338,1151.86111111111,-341.517222222272,"R",412.600000008941,434.29999999702,407.20000000298,724.90000000596,374.14999999851,645.399999991059,395.05000000447,835.399999991059,403.70000000298,764.20000000298,415.399999991059,375.399999991059,415.500000007451,403.600000008941,384.09999999404,408.29999999702,390.09999999404,372,403.30000000447,414.5,387.29999999702,434.70000000298,422.250000007451,401.5,443.29999999702,0,0,2.79999998211861,-3.59999999403954,15.9499999955297,19.4499999955297,18.5500000044703
"finc3",14,"Mini-Norwegian",0,"1","0.93","1.56",37,8,3,2,544,NA,1493.37833333338,1151.86111111111,-341.517222222272,"R",412.600000008941,434.29999999702,407.20000000298,724.90000000596,374.14999999851,645.399999991059,395.05000000447,835.399999991059,403.70000000298,764.20000000298,415.399999991059,375.399999991059,415.500000007451,403.600000008941,384.09999999404,408.29999999702,390.09999999404,372,403.30000000447,414.5,387.29999999702,434.70000000298,422.250000007451,401.5,443.29999999702,0,0,2.79999998211861,-3.59999999403954,15.9499999955297,19.4499999955297,18.5500000044703
"finc3",14,"Mini-Norwegian",0,"1","0.93","1.56",37,6,7,2,544,NA,1493.37833333338,1151.86111111111,-341.517222222272,"R",412.600000008941,434.29999999702,407.20000000298,724.90000000596,374.14999999851,645.399999991059,395.05000000447,835.399999991059,403.70000000298,764.20000000298,415.399999991059,375.399999991059,415.500000007451,403.600000008941,384.09999999404,408.29999999702,390.09999999404,372,403.30000000447,414.5,387.29999999702,434.70000000298,422.250000007451,401.5,443.29999999702,0,0,2.79999998211861,-3.59999999403954,15.9499999955297,19.4499999955297,18.5500000044703
"fqrf6",12,"Mini-Norwegian",3,"0.86","0.71","0.99",18,3,7,2,569,NA,1145.41666666667,928.076923076923,-217.339743589744,"P",324,274,315,269,300.5,306,319,304,308,265,1215,1487,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891,-315,-300.5,-319,-308
